@relation 'World Happiness Report 2024-weka.filters.unsupervised.attribute.Remove-R1,2,6_transformed_reordered'

@attribute 'Log GDP per capita' numeric
@attribute 'Social support' numeric
@attribute 'Freedom to make life choices' numeric
@attribute Generosity numeric
@attribute 'Perceptions of corruption' numeric
@attribute 'Positive affect' numeric
@attribute 'Negative affect' numeric
@attribute 'Life Ladder Numeric' numeric
@attribute 'Life Ladder Category' {'Very Sad',Sad,Neutral,Happy,'Very Happy'}

@data
4.908618,7.323719,0.610594,0.624296,0.04714,0.824828,0.625677,4.908618,Neutral
7.324437,10.877559,0.87901,0.903979,0.255707,0.445697,0.742388,7.324437,Happy
6.909515,9.821863,0.824064,0.831368,-0.106011,0.69758,0.700016,6.909515,Happy
4.554257,8.101261,0.758641,0.79222,-0.007669,0.874719,0.593696,4.554257,Neutral
5.317194,9.315958,0.810234,0.529561,-0.187624,0.637982,0.502736,5.317194,Neutral
5.405246,10.358528,0.90529,0.882068,-0.184415,0.880059,0.646715,5.405246,Neutral
6.869864,11.642819,0.906079,0.89501,0.137685,0.445697,0.73786,6.869864,Happy
7.016062,11.648711,0.879195,0.910813,0.03344,0.445697,0.7507,7.016062,Happy
3.660727,9.548056,0.839424,0.714169,-0.088712,0.799543,0.740164,3.660727,Sad
6.238904,9.866742,0.871497,0.843628,0.084643,0.799052,0.719231,6.238904,Happy
5.94912,9.947594,0.88651,0.802365,-0.012898,0.783532,0.665566,5.94912,Neutral
6.359451,10.774066,0.891119,0.759655,-0.069619,0.74278,0.715303,6.359451,Happy
5.037735,8.483853,0.661375,0.732098,-0.115955,0.77094,0.662436,5.037735,Neutral
4.623969,8.518064,0.594274,0.767367,0.002739,0.832586,0.470247,4.623969,Neutral
7.140283,9.66469,0.910422,0.784815,-0.100164,0.706954,0.724736,7.140283,Happy
4.376985,8.360816,0.724423,0.963075,0.047209,0.863054,0.77077,4.376985,Neutral
4.396128,8.353463,0.705922,0.748508,0.28794,0.828412,0.729875,4.396128,Neutral
3.71633,6.993816,0.695814,0.825387,-0.081724,0.710963,0.639401,3.71633,Sad
5.887132,9.292769,0.82514,0.758587,-0.082734,0.865789,0.776836,5.887132,Neutral
5.348259,8.141137,0.707318,0.773737,0.041723,0.854812,0.576096,5.348259,Neutral
4.279863,7.160252,0.678464,0.822671,-0.035095,0.682109,0.642,4.279863,Neutral
4.787814,9.616117,0.77147,0.60931,0.172106,0.76117,0.51793,4.787814,Neutral
4.023561,9.455696,0.769216,0.732525,-0.213937,0.798496,0.485627,4.023561,Neutral
4.433001,7.332643,0.692405,0.503716,0.095865,0.783531,0.718467,4.433001,Neutral
4.712408,8.22503,0.629109,0.674506,0.022367,0.849325,0.58576,4.712408,Neutral
3.476493,7.270342,0.5243,0.809884,0.036747,0.823615,0.584089,3.476493,Sad
7.604173,10.561984,0.966533,0.878219,0.271592,0.445697,0.803392,7.604173,Happy
3.280247,7.412637,0.828113,0.455957,-0.069041,0.946287,0.588695,3.280247,Sad
4.608616,8.098841,0.632013,0.538262,0.067343,0.762232,0.665162,4.608616,Neutral
6.635664,10.930412,0.874427,0.874083,0.209268,0.52943,0.712497,6.635664,Happy
6.785142,10.277024,0.869009,0.863305,-0.160923,0.917691,0.667787,6.785142,Happy
5.832189,10.172088,0.886789,0.840089,0.139266,0.917428,0.75002,5.832189,Neutral
6.962336,11.333507,0.937862,0.861472,0.137889,0.445697,0.753603,6.962336,Happy
6.636771,9.435151,0.882923,0.882186,-0.037244,0.744994,0.769921,6.636771,Happy
4.82718,7.931992,0.576949,0.743183,0.186741,0.790581,0.65195,4.82718,Neutral
6.488356,10.573658,0.889824,0.718155,-0.15671,0.844095,0.613841,6.488356,Happy
7.137368,10.794416,0.936517,0.905283,0.201515,0.491095,0.725689,7.137368,Happy
4.461304,9.582662,0.725563,0.462647,-0.176155,0.965472,0.44571,4.461304,Neutral
5.363855,8.291088,0.789621,0.866525,0.402781,0.580067,0.751633,5.363855,Neutral
6.439257,10.321686,0.918759,0.865235,-0.173362,0.900733,0.638764,6.439257,Happy
6.231025,9.644871,0.926378,0.781082,0.402781,0.92543,0.781872,6.231025,Happy
6.880784,10.656272,0.934575,0.88897,0.365852,0.445697,0.738627,6.880784,Happy
5.084973,8.86117,0.833385,0.578931,-0.229122,0.875225,0.687322,5.084973,Neutral
6.190922,9.590117,0.881505,0.750609,-0.122795,0.763251,0.676685,6.190922,Happy
3.785684,7.84444,0.739817,0.830343,0.292759,0.520632,0.667274,3.785684,Sad
6.445417,10.662868,0.838402,0.709479,-0.088117,0.865528,0.568894,6.445417,Happy
5.759169,10.082744,0.867578,0.796654,-0.002153,0.768978,0.663708,5.759169,Neutral
7.788252,10.76996,0.963826,0.962199,-0.00831,0.445697,0.755858,7.788252,Happy
5.622519,10.249216,0.834825,0.531736,-0.277165,0.82396,0.63659,5.622519,Neutral
7.093393,10.636769,0.940338,0.894819,0.000982,0.687851,0.681278,7.093393,Happy
6.456478,10.490825,0.947864,0.738472,-0.034011,0.853888,0.682676,6.456478,Happy
6.611299,11.616669,0.838132,0.924334,0.148548,0.798496,0.6827,6.611299,Happy
6.983557,10.661453,0.97884,0.922355,0.188829,0.445697,0.779468,6.983557,Happy
6.60555,10.293885,0.882615,0.846669,-0.015598,0.809943,0.777305,6.60555,Happy
6.466745,10.646747,0.885534,0.702845,-0.096147,0.862318,0.634287,6.466745,Happy
5.267186,8.314452,0.509884,0.375823,0.021646,0.857178,0.472562,5.267186,Neutral
7.135618,9.880915,0.900701,0.872972,-0.04181,0.780562,0.830013,7.135618,Happy
4.461259,8.232682,0.745901,0.957821,0.070267,0.840417,0.712588,4.461259,Neutral
6.12801,9.359486,0.851345,0.869364,-0.105066,0.830743,0.81742,6.12801,Happy
4.128299,9.557082,0.855571,0.767357,-0.147625,0.748848,0.670879,4.128299,Neutral
7.062365,11.381706,0.822033,0.834888,0.147937,0.445697,0.77424,7.062365,Happy
3.572386,7.67859,0.693817,0.734613,-0.068837,0.757494,0.609752,3.572386,Sad
5.417869,9.502946,0.969595,0.36033,-0.1237,0.798496,0.596187,5.417869,Neutral
4.019134,7.314874,0.642429,0.523493,0.07004,0.740403,0.686895,4.019134,Neutral
4.482805,8.521213,0.852778,0.468318,-0.059653,0.589483,0.743178,4.482805,Neutral
6.272268,10.179292,0.95105,0.852387,-0.060878,0.708279,0.711475,6.272268,Happy
5.409289,10.279907,0.793501,0.564456,-0.339547,0.860302,0.563628,5.409289,Neutral
3.55852,9.236404,0.675188,0.473775,-0.146633,0.913228,0.486913,3.55852,Sad
5.350635,9.785037,0.779039,0.876941,-0.268211,0.705884,0.541785,5.350635,Neutral
5.139501,9.543174,0.775248,0.699276,-0.16707,0.802775,0.660758,5.139501,Neutral
7.532505,10.943484,0.981825,0.95947,0.27439,0.698708,0.787223,7.532505,Happy
4.921049,8.374398,0.891404,0.747808,-0.159875,0.932497,0.579321,4.921049,Neutral
5.646205,10.121585,0.904579,0.868149,-0.071889,0.907953,0.658624,5.646205,Neutral
7.560148,10.785204,0.929397,0.944382,0.126954,0.445697,0.795511,7.560148,Happy
4.989277,8.346016,0.60481,0.78306,0.05284,0.862548,0.579225,4.989277,Neutral
6.613394,10.594051,0.918765,0.912178,0.339016,0.663886,0.640534,6.613394,Happy
4.217679,8.166425,0.693905,0.542547,-0.178859,0.885197,0.478329,4.217679,Neutral
4.961031,8.49185,0.765702,0.783369,0.091322,0.883963,0.756795,4.961031,Neutral
4.639548,9.454931,0.637698,0.749611,-0.032957,0.876135,0.54724,4.639548,Neutral
4.891836,9.615089,0.674976,0.810534,-0.26529,0.647223,0.502835,4.891836,Neutral
3.130896,7.670638,0.525568,0.508514,0.10233,0.871242,0.491641,3.130896,Sad
7.393264,10.733668,0.935481,0.916009,0.08512,0.445697,0.758085,7.393264,Happy
5.952543,10.484204,0.862344,0.903218,-0.138763,0.892955,0.638485,5.952543,Neutral
4.63964,7.646704,0.667709,0.750226,0.119575,0.808745,0.604512,4.63964,Neutral
4.620602,9.569492,0.984489,0.857774,0.256552,0.798496,0.567176,4.620602,Neutral
4.824455,7.834035,0.797665,0.720972,-0.012331,0.785281,0.663519,4.824455,Neutral
4.885587,9.072698,0.827624,0.78104,-0.107107,0.839218,0.769056,4.885587,Neutral
2.375092,7.640086,0.504608,0.393656,-0.109458,0.923849,0.327681,2.375092,Sad
7.253757,10.709456,0.946635,0.915733,0.299933,0.445697,0.728992,7.253757,Happy
4.824835,9.31542,0.943437,0.752354,0.139764,0.908597,0.511574,4.824835,Neutral
6.789568,10.566816,0.900969,0.831786,-0.183119,0.866525,0.672273,6.789568,Happy
4.90458,8.307734,0.765436,0.819019,0.160584,0.849194,0.778699,4.90458,Neutral
5.187572,9.862349,0.732915,0.657106,-0.00171,0.910561,0.506425,5.187572,Neutral
5.076315,8.998519,0.848677,0.700346,0.0637,0.798496,0.583119,5.076315,Neutral
4.056013,8.579113,0.685935,0.661638,-0.139847,0.808413,0.557721,4.056013,Neutral
